Time,index,reftemp,sens448,sens449,sens450,sens451,sens452,,Position,reftemp,sens448,sens449,sens450,sens451,sens452
1563237427,0,285,780,954,272,260,259,,0,"28,5",78,"95,4","27,2",26,"25,9"
1563237428,1,286,788,956,274,263,260,,"0,07535","28,6","78,8","95,6","27,4","26,3",26
1563237429,2,286,785,954,277,259,259,,"0,1507","28,6","78,5","95,4","27,7","25,9","25,9"
1563237430,3,289,785,954,277,259,259,,"0,22605","28,9","78,5","95,4","27,7","25,9","25,9"
1563237432,4,292,778,951,277,269,254,,"0,3014","29,2","77,8","95,1","27,7","26,9","25,4"
1563237433,5,285,773,956,279,261,257,,"0,37675","28,5","77,3","95,6","27,9","26,1","25,7"
1563237434,6,285,773,956,279,263,256,,"0,4521","28,5","77,3","95,6","27,9","26,3","25,6"
1563237435,7,288,776,957,280,264,256,,"0,52745","28,8","77,6","95,7",28,"26,4","25,6"
1563237436,8,288,766,955,282,267,256,,"0,6028","28,8","76,6","95,5","28,2","26,7","25,6"
1563237437,9,288,766,954,279,262,258,,"0,67815","28,8","76,6","95,4","27,9","26,2","25,8"
1563237438,10,291,758,953,281,261,255,,"0,7535","29,1","75,8","95,3","28,1","26,1","25,5"
1563237439,11,291,766,953,282,261,253,,"0,82885","29,1","76,6","95,3","28,2","26,1","25,3"
1563237440,12,292,768,951,280,265,256,,"0,9042","29,2","76,8","95,1",28,"26,5","25,6"
1563237441,13,292,773,950,286,265,255,,"0,97955","29,2","77,3",95,"28,6","26,5","25,5"
1563237442,14,293,773,950,286,265,255,,"1,0549","29,3","77,3",95,"28,6","26,5","25,5"
1563237443,15,293,766,950,282,258,256,,"1,13025","29,3","76,6",95,"28,2","25,8","25,6"
1563237444,16,293,767,951,279,256,260,,"1,2056","29,3","76,7","95,1","27,9","25,6",26
1563237446,17,294,771,951,284,256,256,,"1,28095","29,4","77,1","95,1","28,4","25,6","25,6"
1563237447,18,295,775,951,285,263,256,,"1,3563","29,5","77,5","95,1","28,5","26,3","25,6"
1563237448,19,295,779,950,287,268,258,,"1,43165","29,5","77,9",95,"28,7","26,8","25,8"
1563237449,20,295,779,950,287,268,258,,"1,507","29,5","77,9",95,"28,7","26,8","25,8"
1563237450,21,295,774,916,259,248,250,,"1,58235","29,5","77,4","91,6","25,9","24,8",25
1563237451,22,296,795,950,283,266,261,,"1,6577","29,6","79,5",95,"28,3","26,6","26,1"
1563237453,23,297,795,949,285,265,254,,"1,73305","29,7","79,5","94,9","28,5","26,5","25,4"
1563237454,24,314,791,954,286,266,256,,"1,8084","31,4","79,1","95,4","28,6","26,6","25,6"
1563237455,25,314,783,971,291,268,262,,"1,88375","31,4","78,3","97,1","29,1","26,8","26,2"
1563237456,26,321,783,971,291,268,262,,"1,9591","32,1","78,3","97,1","29,1","26,8","26,2"
1563237457,27,321,742,1015,293,264,264,,"2,03445","32,1","74,2","101,5","29,3","26,4","26,4"
1563237458,28,321,731,1029,291,263,253,,"2,1098","32,1","73,1","102,9","29,1","26,3","25,3"
1563237460,29,323,702,1057,292,267,258,,"2,18515","32,3","70,2","105,7","29,2","26,7","25,8"
1563237461,30,319,700,1070,297,260,260,,"2,2605","31,9",70,107,"29,7",26,26
1563237462,31,319,691,1076,298,264,263,,"2,33585","31,9","69,1","107,6","29,8","26,4","26,3"
1563237463,32,316,691,1076,298,264,263,,"2,4112","31,6","69,1","107,6","29,8","26,4","26,3"
1563237465,33,317,674,1084,298,263,258,,"2,48655","31,7","67,4","108,4","29,8","26,3","25,8"
1563237465,34,317,669,1090,302,264,253,,"2,5619","31,7","66,9",109,"30,2","26,4","25,3"
1563237466,35,319,639,1059,303,269,259,,"2,63725","31,9","63,9","105,9","30,3","26,9","25,9"
1563237467,36,319,677,1097,295,264,256,,"2,7126","31,9","67,7","109,7","29,5","26,4","25,6"
1563237468,37,319,668,1103,303,268,261,,"2,78795","31,9","66,8","110,3","30,3","26,8","26,1"
1563237469,38,319,667,1106,302,272,261,,"2,8633","31,9","66,7","110,6","30,2","27,2","26,1"
1563237470,39,319,663,1106,298,269,256,,"2,93865","31,9","66,3","110,6","29,8","26,9","25,6"
1563237472,40,327,656,1114,302,264,258,,"3,014","32,7","65,6","111,4","30,2","26,4","25,8"
1563237473,41,330,647,1118,303,267,263,,"3,08935",33,"64,7","111,8","30,3","26,7","26,3"
1563237474,42,330,641,1115,301,256,261,,"3,1647",33,"64,1","111,5","30,1","25,6","26,1"
1563237475,43,330,641,1115,301,256,261,,"3,24005",33,"64,1","111,5","30,1","25,6","26,1"
1563237477,44,330,640,1113,306,271,262,,"3,3154",33,64,"111,3","30,6","27,1","26,2"
1563237478,45,330,637,1117,311,269,260,,"3,39075",33,"63,7","111,7","31,1","26,9",26
1563237480,46,329,630,1119,310,268,258,,"3,4661","32,9",63,"111,9",31,"26,8","25,8"
1563237481,47,329,629,1123,312,265,262,,"3,54145","32,9","62,9","112,3","31,2","26,5","26,2"
1563237482,48,329,628,1123,307,266,264,,"3,6168","32,9","62,8","112,3","30,7","26,6","26,4"
1563237483,49,329,628,1123,307,266,264,,"3,69215","32,9","62,8","112,3","30,7","26,6","26,4"
1563237484,50,329,630,1122,313,268,261,,"3,7675","32,9",63,"112,2","31,3","26,8","26,1"
1563237485,51,340,629,1129,314,269,262,,"3,84285",34,"62,9","112,9","31,4","26,9","26,2"
1563237487,52,346,618,1150,314,270,261,,"3,9182","34,6","61,8",115,"31,4",27,"26,1"
1563237488,53,347,613,1160,310,259,266,,"3,99355","34,7","61,3",116,31,"25,9","26,6"
1563237489,54,347,620,1157,312,269,266,,"4,0689","34,7",62,"115,7","31,2","26,9","26,6"
1563237490,55,348,620,1157,312,269,266,,"4,14425","34,8",62,"115,7","31,2","26,9","26,6"
1563237491,56,348,607,1176,316,266,263,,"4,2196","34,8","60,7","117,6","31,6","26,6","26,3"
1563237492,57,345,598,1179,317,259,263,,"4,29495","34,5","59,8","117,9","31,7","25,9","26,3"
1563237494,58,348,594,1186,320,268,258,,"4,3703","34,8","59,4","118,6",32,"26,8","25,8"
1563237495,59,354,586,1191,323,274,264,,"4,44565","35,4","58,6","119,1","32,3","27,4","26,4"
1563237496,60,354,589,1194,325,268,262,,"4,521","35,4","58,9","119,4","32,5","26,8","26,2"
1563237497,61,359,585,1198,325,268,260,,"4,59635","35,9","58,5","119,8","32,5","26,8",26
1563237498,62,359,576,1202,326,271,260,,"4,6717","35,9","57,6","120,2","32,6","27,1",26
1563237499,63,358,576,1202,326,271,260,,"4,74705","35,8","57,6","120,2","32,6","27,1",26
1563237500,64,358,578,1204,323,259,266,,"4,8224","35,8","57,8","120,4","32,3","25,9","26,6"
1563237501,65,363,567,1203,327,267,265,,"4,89775","36,3","56,7","120,3","32,7","26,7","26,5"
1563237503,66,363,565,1202,325,262,262,,"4,9731","36,3","56,5","120,2","32,5","26,2","26,2"
