Time,index,reftemp,sens448,sens449,sens450,sens451,sens452,,Position,reftemp,sens448,sens449,sens450,sens451,sens452
1563249153,0,282,243,264,286,313,283,,0,"28,2","24,3","26,4","28,6","31,3","28,3"
1563249154,1,281,236,266,283,305,288,,"0,07535","28,1","23,6","26,6","28,3","30,5","28,8"
1563249155,2,281,238,267,287,303,288,,"0,1507","28,1","23,8","26,7","28,7","30,3","28,8"
1563249156,3,279,238,264,283,308,281,,"0,22605","27,9","23,8","26,4","28,3","30,8","28,1"
1563249157,4,279,237,265,281,308,283,,"0,3014","27,9","23,7","26,5","28,1","30,8","28,3"
1563249158,5,278,240,267,283,294,278,,"0,37675","27,8",24,"26,7","28,3","29,4","27,8"
1563249159,6,277,237,262,278,308,275,,"0,4521","27,7","23,7","26,2","27,8","30,8","27,5"
1563249161,7,277,240,269,286,298,286,,"0,52745","27,7",24,"26,9","28,6","29,8","28,6"
1563249162,8,278,226,243,256,294,273,,"0,6028","27,8","22,6","24,3","25,6","29,4","27,3"
1563249163,9,278,227,243,254,293,277,,"0,67815","27,8","22,7","24,3","25,4","29,3","27,7"
1563249164,10,279,227,243,254,293,277,,"0,7535","27,9","22,7","24,3","25,4","29,3","27,7"
1563249165,11,279,236,267,278,299,284,,"0,82885","27,9","23,6","26,7","27,8","29,9","28,4"
1563249166,12,279,239,262,280,300,285,,"0,9042","27,9","23,9","26,2",28,30,"28,5"
1563249168,13,279,239,270,282,299,280,,"0,97955","27,9","23,9",27,"28,2","29,9",28
1563249169,14,280,237,269,280,298,280,,"1,0549",28,"23,7","26,9",28,"29,8",28
1563249170,15,280,235,268,284,292,278,,"1,13025",28,"23,5","26,8","28,4","29,2","27,8"
1563249171,16,278,234,266,279,302,273,,"1,2056","27,8","23,4","26,6","27,9","30,2","27,3"
1563249172,17,278,235,265,282,295,275,,"1,28095","27,8","23,5","26,5","28,2","29,5","27,5"
1563249173,18,278,238,267,283,297,283,,"1,3563","27,8","23,8","26,7","28,3","29,7","28,3"
1563249174,19,277,241,267,281,299,273,,"1,43165","27,7","24,1","26,7","28,1","29,9","27,3"
1563249175,20,277,235,267,281,301,281,,"1,507","27,7","23,5","26,7","28,1","30,1","28,1"
1563249176,21,277,234,263,285,298,281,,"1,58235","27,7","23,4","26,3","28,5","29,8","28,1"
1563249177,22,277,238,264,280,290,279,,"1,6577","27,7","23,8","26,4",28,29,"27,9"
1563249178,23,276,237,265,284,295,284,,"1,73305","27,6","23,7","26,5","28,4","29,5","28,4"
1563249179,24,276,243,268,277,295,278,,"1,8084","27,6","24,3","26,8","27,7","29,5","27,8"
1563249180,25,276,243,268,277,295,278,,"1,88375","27,6","24,3","26,8","27,7","29,5","27,8"
1563249181,26,276,232,264,278,292,273,,"1,9591","27,6","23,2","26,4","27,8","29,2","27,3"
1563249182,27,275,234,266,276,294,277,,"2,03445","27,5","23,4","26,6","27,6","29,4","27,7"
1563249184,28,274,239,269,277,290,270,,"2,1098","27,4","23,9","26,9","27,7",29,27
1563249185,29,274,238,267,282,296,276,,"2,18515","27,4","23,8","26,7","28,2","29,6","27,6"
1563249186,30,274,238,266,278,293,278,,"2,2605","27,4","23,8","26,6","27,8","29,3","27,8"
1563249187,31,274,238,266,278,293,278,,"2,33585","27,4","23,8","26,6","27,8","29,3","27,8"
