Time,index,reftemp,sens448,sens449,sens450,sens451,sens452,,Position,reftemp,sens448,sens449,sens450,sens451,sens452
1563244894,0,239,591,461,242,242,230,,0,"23,9","59,1","46,1","24,2","24,2",23
1563244896,1,239,592,465,241,236,230,,"0,07535","23,9","59,2","46,5","24,1","23,6",23
1563244897,2,239,597,463,239,239,227,,"0,1507","23,9","59,7","46,3","23,9","23,9","22,7"
1563244898,3,239,595,464,239,241,230,,"0,22605","23,9","59,5","46,4","23,9","24,1",23
1563244899,4,239,598,467,245,232,234,,"0,3014","23,9","59,8","46,7","24,5","23,2","23,4"
1563244900,5,239,600,466,241,240,232,,"0,37675","23,9",60,"46,6","24,1",24,"23,2"
1563244901,6,239,595,470,239,234,233,,"0,4521","23,9","59,5",47,"23,9","23,4","23,3"
1563244902,7,239,603,468,242,237,231,,"0,52745","23,9","60,3","46,8","24,2","23,7","23,1"
1563244903,8,239,601,472,243,233,232,,"0,6028","23,9","60,1","47,2","24,3","23,3","23,2"
1563244904,9,239,601,469,243,232,230,,"0,67815","23,9","60,1","46,9","24,3","23,2",23
1563244905,10,239,603,470,245,240,231,,"0,7535","23,9","60,3",47,"24,5",24,"23,1"
1563244906,11,239,606,471,244,234,231,,"0,82885","23,9","60,6","47,1","24,4","23,4","23,1"
1563244907,12,239,609,472,242,238,232,,"0,9042","23,9","60,9","47,2","24,2","23,8","23,2"
1563244908,13,239,609,472,242,238,232,,"0,97955","23,9","60,9","47,2","24,2","23,8","23,2"
1563244909,14,239,612,475,242,237,232,,"1,0549","23,9","61,2","47,5","24,2","23,7","23,2"
1563244910,15,239,617,472,239,242,231,,"1,13025","23,9","61,7","47,2","23,9","24,2","23,1"
1563244912,16,239,621,473,239,237,230,,"1,2056","23,9","62,1","47,3","23,9","23,7",23
1563244913,17,239,620,477,243,230,233,,"1,28095","23,9",62,"47,7","24,3",23,"23,3"
1563244914,18,239,622,475,242,238,233,,"1,3563","23,9","62,2","47,5","24,2","23,8","23,3"
1563244915,19,239,625,476,242,237,226,,"1,43165","23,9","62,5","47,6","24,2","23,7","22,6"
1563244916,20,239,626,476,242,236,231,,"1,507","23,9","62,6","47,6","24,2","23,6","23,1"
1563244917,21,239,625,476,243,236,234,,"1,58235","23,9","62,5","47,6","24,3","23,6","23,4"
1563244918,22,239,622,473,242,243,231,,"1,6577","23,9","62,2","47,3","24,2","24,3","23,1"
1563244919,23,240,624,474,248,234,243,,"1,73305",24,"62,4","47,4","24,8","23,4","24,3"
1563244920,24,239,625,473,244,240,230,,"1,8084","23,9","62,5","47,3","24,4",24,23
1563244921,25,239,625,475,243,244,231,,"1,88375","23,9","62,5","47,5","24,3","24,4","23,1"
1563244922,26,239,623,475,246,237,223,,"1,9591","23,9","62,3","47,5","24,6","23,7","22,3"
1563244923,27,239,623,475,239,239,229,,"2,03445","23,9","62,3","47,5","23,9","23,9","22,9"
1563244924,28,239,623,475,239,239,229,,"2,1098","23,9","62,3","47,5","23,9","23,9","22,9"
1563244925,29,239,620,478,243,239,232,,"2,18515","23,9",62,"47,8","24,3","23,9","23,2"
1563244926,30,239,614,481,242,229,233,,"2,2605","23,9","61,4","48,1","24,2","22,9","23,3"
1563244928,31,239,610,487,245,239,237,,"2,33585","23,9",61,"48,7","24,5","23,9","23,7"
